path,quality,group,gsplit
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.38.04 PM.png,Bad,64,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.51.37 PM.png,Bad,65,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.43.26 PM.png,Bad,66,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.16.54 PM.png,Bad,67,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.15.20 PM.png,Bad,68,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 3.02.24 PM.png,Bad,69,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.41.32 PM.png,Bad,70,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.35.10 PM.png,Bad,71,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.33.38 PM.png,Bad,72,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.15.50 PM.png,Bad,73,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.33.47 PM.png,Bad,74,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0158.jpg,Bad,75,val
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0184.jpg,Bad,76,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.58.17 PM.png,Bad,77,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.40.55 PM.png,Bad,78,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.37.43 PM.png,Bad,79,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.44.26 PM.png,Bad,80,test
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0162.jpg,Bad,81,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.43.34 PM.png,Bad,82,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.23.51 PM.png,Bad,83,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.57.13 PM.png,Bad,84,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.47.20 PM.png,Bad,85,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.56.34 PM.png,Bad,86,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.22.00 PM.png,Bad,87,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 3.00.46 PM.png,Bad,88,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.23.24 PM.png,Bad,89,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0188.jpg,Bad,90,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.38.28 PM.png,Bad,91,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.54.08 PM.png,Bad,92,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0176.jpg,Bad,93,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.20.04 PM.png,Bad,94,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.46.12 PM.png,Bad,95,test
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0204.jpg,Bad,96,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.36.06 PM.png,Bad,97,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0152.jpg,Bad,98,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.45.18 PM.png,Bad,99,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.25.16 PM.png,Bad,100,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.35.38 PM.png,Bad,101,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.58.04 PM.png,Bad,102,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.52.22 PM.png,Bad,103,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 3.01.09 PM.png,Bad,104,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.45.55 PM.png,Bad,105,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0186.jpg,Bad,106,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.56.09 PM.png,Bad,107,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.34.36 PM.png,Bad,108,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0156.jpg,Bad,109,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0200.jpg,Bad,110,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0172.jpg,Bad,111,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 3.01.38 PM.png,Bad,112,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.51.45 PM.png,Bad,113,val
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0178.jpg,Bad,114,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.51.16 PM.png,Bad,115,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.46.04 PM.png,Bad,116,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.44.59 PM.png,Bad,117,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0164.jpg,Bad,118,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.24.59 PM.png,Bad,119,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.51.01 PM.png,Bad,120,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.20.56 PM.png,Bad,121,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.53.20 PM.png,Bad,122,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.43.54 PM.png,Bad,123,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.59.13 PM.png,Bad,124,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.42.37 PM.png,Bad,125,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.34.49 PM.png,Bad,126,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.41.23 PM.png,Bad,127,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0160.jpg,Bad,128,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0170.jpg,Bad,129,val
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0154.jpg,Bad,130,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.58.30 PM.png,Bad,131,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 3.01.21 PM.png,Bad,132,test
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.43.13 PM.png,Bad,133,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0210.jpg,Bad,134,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.39.20 PM.png,Bad,135,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.39.53 PM.png,Bad,136,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.59.09 PM.png,Bad,137,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.53.57 PM.png,Bad,138,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.52.09 PM.png,Bad,139,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.46.43 PM.png,Bad,140,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.54.58 PM.png,Bad,141,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.37.20 PM.png,Bad,142,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.57.17 PM.png,Bad,143,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 3.00.40 PM.png,Bad,144,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.17.25 PM.png,Bad,145,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 3.02.37 PM.png,Bad,146,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0148.jpg,Bad,147,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0198.jpg,Bad,148,val
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.50.31 PM.png,Bad,149,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.47.27 PM.png,Bad,150,train
Fruits/Bad Quality_Fruits/Apple_Bad/IMG-20260603-WA0146.jpg,Bad,151,train
Fruits/Bad Quality_Fruits/Apple_Bad/rotated_by_15_Screen Shot 2018-06-07 at 2.39.26 PM.png,Bad,152,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_032_008.jpg,Bad,153,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_011_014.jpg,Bad,154,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_025_003.jpg,Bad,155,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_008_015.jpg,Bad,156,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_034_014.jpg,Bad,157,test
Fruits/Bad Quality_Fruits/Banana_Bad/foto_2.jpeg,Bad,158,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_027_016.jpg,Bad,159,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_030_014.jpg,Bad,160,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_032_015.jpg,Bad,161,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_002_016.jpg,Bad,162,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_034_015.jpg,Bad,163,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_004_008.jpg,Bad,164,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_011_003.jpg,Bad,165,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_010_015.jpg,Bad,166,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_028_014.jpg,Bad,167,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_037_015.jpg,Bad,168,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_005_015.jpg,Bad,169,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_034_008.jpg,Bad,170,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_013_015.jpg,Bad,171,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_005_014.jpg,Bad,172,train
Fruits/Bad Quality_Fruits/Banana_Bad/foto_3.jpeg,Bad,158,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_010_009.jpg,Bad,173,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_012_015.jpg,Bad,174,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_039_014.jpg,Bad,175,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_007_014.jpg,Bad,176,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_015_016.jpg,Bad,177,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_006_016.jpg,Bad,178,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_009_014.jpg,Bad,179,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_038_015.jpg,Bad,180,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_008_008.jpg,Bad,181,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_001_016.jpg,Bad,182,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_030_008.jpg,Bad,183,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_022_015.jpg,Bad,184,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_030_015.jpg,Bad,185,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_038_003.jpg,Bad,186,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_026_014.jpg,Bad,187,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_033_015.jpg,Bad,188,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_036_014.jpg,Bad,189,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_039_012.jpg,Bad,190,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_031_016.jpg,Bad,191,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_028_004.jpg,Bad,192,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_038_008.jpg,Bad,193,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_019_008.jpg,Bad,194,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_028_009.jpg,Bad,195,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_039_013.jpg,Bad,196,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_039_008.jpg,Bad,196,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_012_016.jpg,Bad,197,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_018_016.jpg,Bad,198,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_027_014.jpg,Bad,199,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_023_003.jpg,Bad,200,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_020_008.jpg,Bad,201,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_017_008.jpg,Bad,202,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_024_015.jpg,Bad,203,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_035_015.jpg,Bad,204,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_020_015.jpg,Bad,205,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_007_016.jpg,Bad,206,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_017_015.jpg,Bad,207,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_021_003.jpg,Bad,208,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_039_000.jpg,Bad,209,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_010_003.jpg,Bad,210,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_025_016.jpg,Bad,211,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_030_016.jpg,Bad,212,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_023_016.jpg,Bad,213,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_010_014.jpg,Bad,214,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_039_011.jpg,Bad,196,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_026_015.jpg,Bad,215,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_039_015.jpg,Bad,216,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_028_000.jpg,Bad,217,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_036_015.jpg,Bad,218,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_001_003.jpg,Bad,219,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_010_008.jpg,Bad,173,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_014_016.jpg,Bad,220,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_015_015.jpg,Bad,221,test
Fruits/Bad Quality_Fruits/Banana_Bad/foto_0.jpeg,Bad,158,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_038_009.jpg,Bad,193,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_024_003.jpg,Bad,222,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_006_014.jpg,Bad,223,val
Fruits/Bad Quality_Fruits/Banana_Bad/banana_013_008.jpg,Bad,224,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_039_016.jpg,Bad,225,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_013_014.jpg,Bad,226,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_025_015.jpg,Bad,227,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_029_003.jpg,Bad,228,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_039_009.jpg,Bad,196,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_014_014.jpg,Bad,229,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_023_008.jpg,Bad,230,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_028_008.jpg,Bad,231,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_039_005.jpg,Bad,232,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_028_005.jpg,Bad,233,test
Fruits/Bad Quality_Fruits/Banana_Bad/banana_014_015.jpg,Bad,234,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_028_012.jpg,Bad,235,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_018_003.jpg,Bad,236,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_035_014.jpg,Bad,237,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_009_008.jpg,Bad,238,train
Fruits/Bad Quality_Fruits/Banana_Bad/banana_021_009.jpg,Bad,239,test
